Kanji,Meaning
覚,Bleak
鍵,Key
金,gold
走,Walk
曜,Be a good -looking
二,two
濯,wash
字,Character
誌,Aspiration
夫,husband
山,Mountain
安,install
園,Garden
靴,Boot
名,name
勿,do not
側,Side
皿,Dish
左,Left
困,Sleepy
話,talk
角,horn
乗,Multiply
果,fruit
右,right
嫌,Dislike
分,point
他,he
符,symbol
帰,Bleak
忘,forget
書,Book
登,Obey
顔,Face
働,Bleak
酒,liquor
半,Half
土,earth
待,treat
夏,summer
遅,Bleak
戸,Bleak
散,Scatter
長,long
醤,Bleak
沢,Bleak
匹,match
油,Oil
七,seven
椅,chair
十,ten
度,Spend
関,Close
吹,blow
返,return
九,Nine
楽,Bleak
張,Sheet
牛,ox
卵,egg
番,Fascinating
飛,Fly
入,enter
習,Practice
貸,Loan
肉,Meat
寝,sleep
友,friend
蔵,Bleak
今,now
階,Grade
筆,Pen
題,Question
泳,swimming
白,white
箸,chopsticks
奥,profound
窓,Bleak
料,material
水,water
店,shop
食,Food
上,superior
弾,Bleak
歳,Bleak
火,fire
国,country
達,Reach
円,Yarn
青,green
曇,Nobel
者,By
何,what
直,straight
庭,court
女,female
愛,love
結,End
来,Come
見,See
魚,fish
豚,Dodge
平,flat
夜,night
玄,mysterious
有,have
止,end
弁,Bleak
問,Ask
父,father
着,Be
欲,want
駅,Bleak
自,since
午,noon
歌,Song
下,Down
母,mother
出,out
門,door
道,road
呂,Lu
石,stone
万,Ten thousand
天,sky
机,machine
終,End
背,back
授,Grant
糖,sugar
甘,sweet
計,Calculate
六,six
座,seat
写,Write
池,Pool
汚,Stun
履,shoe
味,taste
美,beautiful
千,thousand
電,Electricity
真,real
東,east
横,horizontal
毎,Bleak
色,color
邪,evil
南,South
家,Home
悪,Bleak
可,Can
段,part
切,cut
帽,cap
灰,Ash
勉,Unbelievable
渡,Cross
答,answer
室,room
校,school
昨,Yesterday
会,meeting
利,profit
葉,Leaf
徒,only
学,study
練,Practice
建,establish
不,No
百,Hundred
菓,Fruit
隣,Neighbor
次,Second-rate
鼻,nose
危,Dangerous
号,Number
洋,foreign
浴,bath
西,West
洗,wash
人,people
鶏,Bleak
足,foot
機,Machine
優,Excellent
両,Bleak
薄,Thin
全,Complete
同,same
明,bright
便,Be
私,private
賑,Help
飯,Rice
冊,Book
借,borrow
砂,sand
誰,who
静,quiet
再,Again
御,Imperial
五,five
子,son
涼,Cold
茶,Tea
撮,Pick up
乳,milk
喫,Eat
誕,Birthday
台,tower
歯,Bleak
箱,box
初,early
脱,Take off
動,move
社,society
遊,Swimming
週,Souvenir
古,antiquity
図,Bleak
鉄,Bleak
伯,Uncle
語,Language
遠,Far away
忙,busy
四,Four
辞,Resign
絵,Bleak
薬,Bleak
野,wild
取,Pick
事,thing
点,point
作,do
所,Place
広,Bleak
寒,cold
本,Book
暇,leisure
中,middle
置,Set
吸,suck
言,Word
理,reason
漢,Han
目,Aimalize
物,Object
辺,Bleak
短,short
枚,Dime
冷,cold
休,stop
棚,shed
開,open
腹,belly
屋,Room
川,Sichuan
押,Pledge
当,when
痛,pain
男,male
論,Discuss
歩,Bleak
紙,Paper
生,born
晴,clear
兄,Brother
荷,Load
疲,tired
多,many
妹,sister
良,good
速,speed
降,drop
交,pay
持,hold
業,Industry
貴,expensive
去,go
菜,vegetable
堂,Church
地,land
主,host
時,Hour
銀,Silver
質,Quality
教,teach
高,high
若,like
部,department
木,Wood
手,hand
車,vehicle
日,day
閉,Close
年,Year
弟,younger brother
傘,Umbrella
公,male
服,Clothes
回,Return
橋,Bridge
親,Close
鞄,Bleak
音,sound
外,outside
元,Yuan
北,north
勤,Diligent
医,medical
映,reflect
暗,dark
好,good
仮,Bleak
大,big
太,too
派,group
皆,all
面,noodle
雑,Bleak
黒,Bleak
狭,narrow
画,painting
暑,heat
小,Small
方,square
筒,cylinder
後,back
近,close
辛,pungent
厚,thick
町,Town
族,Ethnic
過,pass
病,sick
並,And
送,deliver
読,Bleak
院,hospital
締,Soup
聞,Smell
鳴,Make up
早,morning
声,Voice
耳,Ear
赤,red
館,Museum
月,moon
先,First
向,Towards
知,Know
咲,Cloak
温,temperature
黄,yellow
文,arts
鳥,bird
冠,crown
始,beginning
旅,trip
住,live
重,Heavy
朝,towards
消,remove
碗,bowl
晩,Bleak
掃,Scan
内,Inside
春,spring
前,forward
姉,Sister
立,stand
鹸,Bleak
婚,marriage
少,few
難,difficult
塩,Bleak
使,make
留,Keep
体,body
軽,Bleak
一,one
海,ocean
庫,Library
丈,Husband
強,Strong
飲,Drink
呼,call
細,Fine
間,between
雨,rain
口,mouth
頼,Bleak
仕,official
新,new
封,seal up
気,Bleak
八,eight
死,die
花,flower
詰,Obtain
緒,Bleak
